date,LEMP0011
2007-12-01,2737158.4691083496
2008-06-01,2750595.2891828483
2008-12-01,2858658.6242524087
2009-12-01,2565690.7800232
2010-06-01,2715542.449939948
2010-12-01,2875532.8374336693
2011-06-01,2789524.5370257366
2011-12-01,2996565.823367752
2012-06-01,3104823.918056654
2012-12-01,3118173.9137130477
2013-06-01,2998480.910352387
2013-12-01,3328047.856627907
2014-03-01,3206079.844914231
2014-06-01,3401156.4960529213
2014-09-01,3414022.5033062566
2014-12-01,3545801.859881566
2015-03-01,3223996.098472652
2015-06-01,3410490.2796948333
2015-09-01,3495964.64649202
2015-12-01,3487109.931467652
2016-03-01,3142554.112848577
2016-06-01,3214775.867700884
2016-09-01,3154513.174692817
2016-12-01,3243293.458911773
2017-03-01,3112953.474249388
2017-06-01,3267363.116353657
2017-09-01,3303564.806360301
2017-12-01,3417483.0354530048
2018-03-01,3356562.26360169
2018-06-01,3105674.1184354555
2018-09-01,3274463.0000051023
2018-12-01,3262079.031218802
2019-03-01,3094794.887730979
2019-06-01,3123743.3117937893
2019-09-01,3228032.415854282
2019-12-01,3146297.1181553164
2020-09-01,2458818.575455507
2020-10-01,2339425.4488238264
2020-11-01,2327015.378041638
2020-12-01,2458516.149502068
2021-01-01,2671029.8197919684
2021-02-01,2575859.788669105
2021-03-01,2547396.127861009
2021-04-01,2565865.478460881
2021-05-01,2569032.6120545897
2021-06-01,2604262.8435303443
2021-07-01,2631707.9283258896
2021-08-01,2770656.0257173786
2021-09-01,2843731.8267118367
2021-10-01,2684257.565923289
2021-11-01,2857882.4595837044
2021-12-01,2919910.1686953017
2022-01-01,2813259.415612234
2022-02-01,2685359.0252370094
2022-03-01,2721201.857259769
2022-04-01,2770255.35383725
2022-05-01,2843061.283080968
2022-06-01,2906664.053720234
2022-07-01,2752903.8976416383
2022-08-01,2844725.9612502023
2022-09-01,3077800.8094568206
2022-10-01,2928004.946466445
2022-11-01,2981885.706156769
2022-12-01,3011799.7204447743
2023-01-01,2982923.635947969
2023-02-01,2803264.568542805
2023-03-01,2881193.3549402114
2023-04-01,2990453.1358960285
2023-05-01,3005242.879532
2023-06-01,2908861.922195367
2023-07-01,2988082.9841417274
2023-08-01,2975379.546747125
2023-09-01,3110028.5082042767
2023-10-01,2923165.406895772
2023-11-01,3037803.436778692
2023-12-01,3093646.536159066
2024-01-01,2970115.8470762097
2024-02-01,2832153.026996928
2024-03-01,2937706.21970084
2024-04-01,2894141.404409995
2024-05-01,2816151.8762487704
2024-06-01,3074821.8695946373
2024-07-01,3027054.283740197


 Definition: Empleo Adecuado/Pleno. Source: INE
