date,TEXP0020
2022-01-01,1689877.649062
2022-02-01,1815652.727405
2022-03-01,1722501.507624
2022-04-01,1841378.572654
2022-05-01,1735943.491958
2022-06-01,1826739.426939
2022-07-01,1756075.460782
2022-08-01,1701404.415185
2022-09-01,1765575.067899
2022-10-01,1767936.365141
2022-11-01,1708028.845643
2022-12-01,1740197.344463
2023-01-01,1683740.136571
2023-02-01,1886915.497087
2023-03-01,1991238.223444
2023-04-01,1808916.467941
2023-05-01,1920382.514692
2023-06-01,1878296.501774
2023-07-01,1794874.020737
2023-08-01,1803117.92242
2023-09-01,1964924.924727
2023-10-01,1859679.265236
2023-11-01,1680068.026386
2023-12-01,1902738.674743
2024-01-01,1736658.912428
2024-02-01,1905851.677868
2024-03-01,1915908.949524
2024-04-01,2011763.67505
2024-05-01,2134183.600622


 Definition: Exportaciones no petroleras, Total. Source: BCE
