ticket,var name,definition,category,file,source,url,nominal
TEXP0100,exportaciones fob total,"Exportaciones FOB, Total",Trade,bce_bc.csv,BCE,https://contenido.bce.fin.ec/documentos/PublicacionesNotas/Catalogo/IEMensual/Indices/m2068062024.html,1
TEXP0110,exportaciones fob petroleras,"Exportaciones FOB, Petroleras",Trade,bce_bc.csv,BCE,https://contenido.bce.fin.ec/documentos/PublicacionesNotas/Catalogo/IEMensual/Indices/m2068062024.html,1
TEXP0120,exportaciones fob no petroleras,"Exportaciones FOB, No Petroleras",Trade,bce_bc.csv,BCE,https://contenido.bce.fin.ec/documentos/PublicacionesNotas/Catalogo/IEMensual/Indices/m2068062024.html,1
TIMP0100,importaciones fob total,"Importaciones FOB, Total",Trade,bce_bc.csv,BCE,https://contenido.bce.fin.ec/documentos/PublicacionesNotas/Catalogo/IEMensual/Indices/m2068062024.html,1
TIMP0110,importaciones fob petroleras,"importaciones FOB, Petroleras",Trade,bce_bc.csv,BCE,https://contenido.bce.fin.ec/documentos/PublicacionesNotas/Catalogo/IEMensual/Indices/m2068062024.html,1
TIMP0120,importaciones fob no petroleras,"Importaciones FOB, No petroleras",Trade,bce_bc.csv,BCE,https://contenido.bce.fin.ec/documentos/PublicacionesNotas/Catalogo/IEMensual/Indices/m2068062024.html,1
TBAL0000,balanza comercial total,"Balanza comercial, Total (comercio exterior)",Trade,bce_bc.csv,BCE,https://contenido.bce.fin.ec/documentos/PublicacionesNotas/Catalogo/IEMensual/Indices/m2068062024.html,1
TBAL0010,balanza comercial petrolera,"Balanza comercial, Petrolera (comercio exterior)",Trade,bce_bc.csv,BCE,https://contenido.bce.fin.ec/documentos/PublicacionesNotas/Catalogo/IEMensual/Indices/m2068062024.html,1
TBAL0020,balanza comercial no petrolera,"Balanza comercial, No petrolera (comercio exterior)",Trade,bce_bc.csv,BCE,https://contenido.bce.fin.ec/documentos/PublicacionesNotas/Catalogo/IEMensual/Indices/m2068062024.html,1
TACT0000,activos de reserva,Activos de reserva,Trade,bce_bp.csv,BCE,https://contenido.bce.fin.ec/documentos/Estadisticas/SectorExterno/BalanzaPagos/indice.htm,1
TBAL0001,balanza comercial,Balanza comercial BOP,Trade,bce_bp.csv,BCE,https://contenido.bce.fin.ec/documentos/Estadisticas/SectorExterno/BalanzaPagos/indice.htm,1
TACC0000,cuenta corriente,Cuenta corriente BOP,Trade,bce_bp.csv,BCE,https://contenido.bce.fin.ec/documentos/Estadisticas/SectorExterno/BalanzaPagos/indice.htm,1
TACC0010,cuenta de capital,Cuenta de capital,Trade,bce_bp.csv,BCE,https://contenido.bce.fin.ec/documentos/Estadisticas/SectorExterno/BalanzaPagos/indice.htm,1
TACC0020,cuenta financiera,Cuenta financiera BOP,Trade,bce_bp.csv,BCE,https://contenido.bce.fin.ec/documentos/Estadisticas/SectorExterno/BalanzaPagos/indice.htm,1
TINC0000,ingreso primario,Ingreso primario,Trade,bce_bp.csv,BCE,https://contenido.bce.fin.ec/documentos/Estadisticas/SectorExterno/BalanzaPagos/indice.htm,1
TINC0010,ingreso secundario,Ingreso secundario,Trade,bce_bp.csv,BCE,https://contenido.bce.fin.ec/documentos/Estadisticas/SectorExterno/BalanzaPagos/indice.htm,1
TSER0000,servicios,Servicios,Trade,bce_bp.csv,BCE,https://contenido.bce.fin.ec/documentos/Estadisticas/SectorExterno/BalanzaPagos/indice.htm,0
TEXP0201,oro polvo kg,"Exportaciones de Oro, En polvo (kilogramos)",Trade,bce_export.csv,BCE,https://contenido.bce.fin.ec/documentos/Estadisticas/Hidrocarburos/ExportacionesAnuales.xlsx,0
TEXP0202,oro las demas formas en bruto kg,"Exportaciones de Oro, En las demás formas en bruto (kilogramos)",Trade,bce_export.csv,BCE,https://contenido.bce.fin.ec/documentos/Estadisticas/Hidrocarburos/ExportacionesAnuales.xlsx,0
TEXP0203,oro las demas formas semilabradas kg,"Exportaciones de Oro, En las demás formas semilabradas (kilogramos)",Trade,bce_export.csv,BCE,https://contenido.bce.fin.ec/documentos/Estadisticas/Hidrocarburos/ExportacionesAnuales.xlsx,0
