date,FDEB2000
2021-09-01,72014690.64
2021-10-01,73119313.41
2021-11-01,71486437.07
2021-12-01,73125169.76
2022-01-01,73002770.75
2022-02-01,72991099.11
2022-03-01,73496108.89
2022-04-01,72540177.59
2022-05-01,72522002.86
2022-06-01,74582932.6
2022-07-01,72259512.8
2022-08-01,72496613.14
2022-09-01,71901530.42
2022-10-01,72304904.16
2022-11-01,71969574.87
2022-12-01,74850292.36
2023-01-01,73861835.69
2023-02-01,
2023-03-01,74786138.44
2023-04-01,75373911.19
2023-05-01,73545258.59
2023-06-01,74292998.62
2023-07-01,74798716.6
2023-08-01,74480753.82
2023-09-01,75457968.76
2023-10-01,75537400.32
2023-11-01,
2023-12-01,78670121.81
2024-01-01,78240307.27
2024-02-01,77539369.87
2024-03-01,77993746.53
2024-04-01,76706354.69
2024-05-01,76989061.04
2024-06-01,79511062.49249719
2024-07-01,80466389.0852222
2024-08-01,81149276.8636552


 Definition: Total deuda publica agregada mas otras obligaciones. Source: MEF
