date,FEMB0000
1998-01-02,641.0
1998-01-05,652.0
1998-01-06,700.0
1998-01-07,695.0
1998-01-08,705.0
1998-01-09,747.0
1998-01-12,774.0
1998-01-13,749.0
1998-01-14,765.0
1998-01-15,802.0
1998-01-16,772.0
1998-01-19,772.0
1998-01-20,768.0
1998-01-21,795.0
1998-01-22,809.0
1998-01-23,809.0
1998-01-26,803.0
1998-01-27,765.0
1998-01-28,777.0
1998-01-29,766.0
1998-01-30,742.0
1998-02-02,730.0
1998-02-03,725.0
1998-02-04,718.0
1998-02-05,709.0
1998-02-06,720.0
1998-02-09,737.0
1998-02-10,723.0
1998-02-11,703.0
1998-02-12,715.0
1998-02-13,720.0
1998-02-16,720.0
1998-02-17,717.0
1998-02-18,716.0
1998-02-19,712.0
1998-02-20,714.0
1998-02-23,718.0
1998-02-24,723.0
1998-02-25,700.0
1998-02-26,694.0
1998-02-27,683.0
1998-03-02,685.0
1998-03-03,674.0
1998-03-04,663.0
1998-03-05,679.0
1998-03-06,671.0
1998-03-09,674.0
1998-03-10,666.0
1998-03-11,663.0
1998-03-12,631.0
1998-03-13,630.0
1998-03-16,631.0
1998-03-17,664.0
1998-03-18,655.0
1998-03-19,652.0
1998-03-20,654.0
1998-03-23,630.0
1998-03-24,651.0
1998-03-25,695.0
1998-03-26,704.0
1998-03-27,675.0
1998-03-30,689.0
1998-03-31,684.0
1998-04-01,690.0
1998-04-02,707.0
1998-04-03,720.0
1998-04-06,716.0
1998-04-07,698.0
1998-04-08,702.0
1998-04-09,679.0
1998-04-10,679.0
1998-04-13,678.0
1998-04-14,671.0
1998-04-15,667.0
1998-04-16,695.0
1998-04-17,686.0
1998-04-20,712.0
1998-04-21,706.0
1998-04-22,710.0
1998-04-23,705.0
1998-04-24,713.0
1998-04-27,734.0
1998-04-28,739.0
1998-04-29,730.0
1998-04-30,703.0
1998-05-01,694.0
1998-05-04,703.0
1998-05-05,715.0
1998-05-06,723.0
1998-05-07,725.0
1998-05-08,730.0
1998-05-11,745.0
1998-05-12,752.0
1998-05-13,748.0
1998-05-14,740.0
1998-05-15,734.0
1998-05-18,774.0
1998-05-19,779.0
1998-05-20,764.0
1998-05-21,762.0
1998-05-22,765.0
1998-05-25,765.0
1998-05-26,806.0
1998-05-27,794.0
1998-05-28,766.0
1998-05-29,776.0
1998-06-01,784.0
1998-06-02,762.0
1998-06-03,759.0
1998-06-04,759.0
1998-06-05,746.0
1998-06-08,768.0
1998-06-09,781.0
1998-06-10,808.0
1998-06-11,832.0
1998-06-12,834.0
1998-06-15,870.0
1998-06-16,837.0
1998-06-17,791.0
1998-06-18,808.0
1998-06-19,807.0
1998-06-22,818.0
1998-06-23,812.0
