date,LPOB0000
2007-12-01,6336029.2761244215
2008-06-01,6589368.286363157
2008-12-01,6385420.973391889
2009-12-01,6548937.1674195
2010-06-01,6582459.861185337
2010-12-01,6436256.829105202
2011-06-01,6553788.707971601
2011-12-01,6581621.141356619
2012-06-01,6870841.555392873
2012-12-01,6701014.092929743
2013-06-01,6999745.216662797
2013-12-01,6952985.676018876
2014-03-01,7048410.006065984
2014-06-01,6967746.931410098
2014-09-01,7145197.036719422
2014-12-01,7194520.96160092
2015-03-01,7374083.4768732255
2015-06-01,7430700.833323855
2015-09-01,7599717.168920027
2015-12-01,7498528.038691462
2016-03-01,7861661.292952668
2016-06-01,7831981.398336001
2016-09-01,8057158.895771829
2016-12-01,7874020.877194108
2017-03-01,8084382.233744061
2017-06-01,8147563.783086181
2017-09-01,8181048.585545623
2017-12-01,8086048.088531246
2018-03-01,8164425.223236396
2018-06-01,7978869.629441109
2018-09-01,8266443.00000916
2018-12-01,8027129.76465408
2019-03-01,8162787.107760985
2019-06-01,8231949.420225051
2019-09-01,8379355.240162382
2019-12-01,8099029.664304781
2020-09-01,7993136.26446141
2020-10-01,8282798.226471295
2020-11-01,8159077.842971655
2020-12-01,8084190.873711913
2021-01-01,8346101.056309772
2021-02-01,8237702.515646293
2021-03-01,8054253.976839301
2021-04-01,8324589.693961972
2021-05-01,8501293.437177708
2021-06-01,8332655.807557098
2021-07-01,8277483.402673249
2021-08-01,8540362.93093852
2021-09-01,8479137.09203975
2021-10-01,8398347.28453077
2021-11-01,8479555.067206884
2021-12-01,8602937.113717344
2022-01-01,8505093.818378609
2022-02-01,8482096.227755465
2022-03-01,8314561.411902587
2022-04-01,8524063.059263278
2022-05-01,8557854.020457722
2022-06-01,8536618.964472368
2022-07-01,8579754.444091108
2022-08-01,8536605.284261085
2022-09-01,8693193.878330946
2022-10-01,8677809.162276685
2022-11-01,8380303.589956388
2022-12-01,8357837.206714286
2023-01-01,8568866.7127118
2023-02-01,8507794.416104095
2023-03-01,8329979.758269412
2023-04-01,8503313.331660021
2023-05-01,8263434.46290142
2023-06-01,8441392.76975601
2023-07-01,8423105.356636899
2023-08-01,8507480.402311858
2023-09-01,8768991.72556214
2023-10-01,8393863.505123755
2023-11-01,8492303.267509494
2023-12-01,8613358.273586331
2024-01-01,8547590.778724808
2024-02-01,8345441.064426541
2024-03-01,8529123.835208619
2024-04-01,8608442.879516415
2024-05-01,8427807.835027121
2024-06-01,8680135.424448458
2024-07-01,8682532.970370987
2024-08-01,8607462.435996963
2024-09-01,8731105.991175195
2024-10-01,8421281.063851044
2024-11-01,8623733.578698253
2024-12-01,8570295.546818474


 Definition: Población Económicamente Activa. Source: INE
