date,MCAP0003
2006-01-01,3.22
2006-02-01,3.25
2006-03-01,1.92
2006-04-01,1.99
2006-05-01,1.97
2006-06-01,2.09
2006-07-01,2.08
2006-08-01,2.05
2006-09-01,1.84
2006-10-01,1.81
2006-11-01,1.99
2006-12-01,2.28
2007-01-01,2.41
2007-02-01,2.39
2007-03-01,2.33
2007-04-01,2.41
2007-05-01,2.47
2007-06-01,2.25
2007-07-01,2.39
2007-08-01,2.72
2007-09-01,2.7
2007-10-01,2.87
2007-11-01,2.95
2007-12-01,3.18
2008-01-01,2.53
2008-02-01,2.52
2008-03-01,2.69
2008-04-01,2.85
2008-05-01,2.85
2008-06-01,2.85
2008-07-01,2.88
2008-08-01,8.38
2008-09-01,10.79
2008-10-01,11.79
2008-11-01,12.56
2008-12-01,13.24
2009-01-01,17.82
2009-02-01,18.77
2009-03-01,17.7
2009-04-01,12.43
2009-05-01,13.68
2009-06-01,13.88
2009-07-01,13.68
2009-08-01,13.58
2009-09-01,14.08
2009-10-01,14.21
2009-11-01,12.78
2009-12-01,13.48
2010-01-01,14.22
2010-02-01,15.6
2010-03-01,15.06
2010-04-01,20.99
2010-05-01,21.91
2010-06-01,20.3
2010-07-01,23.96
2010-08-01,25.68
2010-09-01,25.16
2010-10-01,18.43
2010-11-01,26.71
2010-12-01,31.31
2011-01-01,29.13
2011-02-01,25.32
2011-03-01,26.13
2011-04-01,25.32
2011-05-01,27.0
2011-06-01,29.62
2011-07-01,25.51
2011-08-01,27.06
2011-09-01,22.25
2011-10-01,26.27
2011-11-01,33.25
2011-12-01,29.97
2012-01-01,25.98
2012-02-01,26.16
2012-03-01,25.05
2012-04-01,22.06
2012-05-01,26.37
2012-06-01,20.92
2012-07-01,21.03
2012-08-01,19.3
2012-09-01,17.9
2012-10-01,22.41
2012-11-01,17.06
2012-12-01,17.35
2013-01-01,16.3
2013-02-01,15.82
2013-03-01,15.26
2013-04-01,15.68
2013-05-01,17.28
2013-06-01,15.78
2013-07-01,14.73
2013-08-01,13.82
2013-09-01,13.98
2013-10-01,12.2
2013-11-01,11.46
2013-12-01,7.55
2014-01-01,6.5
2014-02-01,6.28
2014-03-01,6.31
2014-04-01,6.14
2014-05-01,6.53
2014-06-01,6.21
2014-07-01,6.21
2014-08-01,5.69
2014-09-01,5.5
2014-10-01,4.84
2014-11-01,4.51
2014-12-01,0.27
2015-01-01,0.09
2015-02-01,0.01
2015-03-01,0.03
2015-04-01,0.0
2015-05-01,0.02
2015-06-01,0.0
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,0.0
2015-11-01,0.0
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,0.0
2016-03-01,0.0
2016-04-01,0.0
2016-05-01,0.0
2016-06-01,0.0
2016-07-01,0.0
2016-08-01,0.0
2016-09-01,0.0
2016-10-01,0.0
2016-11-01,0.0
2016-12-01,0.0
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,0.0
2017-04-01,0.0
2017-05-01,0.0
2017-06-01,0.0
2017-07-01,0.0
2017-08-01,0.0
2017-09-01,0.0
2017-10-01,0.0
2017-11-01,0.0
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,0.0
2018-04-01,0.0
2018-05-01,0.0
2018-06-01,0.0
2018-07-01,0.0
2018-08-01,0.0
2018-09-01,0.0
2018-10-01,0.0
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.0
2019-04-01,0.0
2019-05-01,0.0
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,0.0
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,0.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,0.0
2022-04-01,0.0
2022-05-01,0.0
2022-06-01,0.0
2022-07-01,0.0
2022-08-01,0.0
2022-09-01,0.0
2022-10-01,0.0
2022-11-01,0.0
2022-12-01,0.0
2023-01-01,0.0
2023-02-01,0.0
2023-03-01,0.0
2023-04-01,0.0
2023-05-01,0.0
2023-06-01,0.0
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,0.0
2023-11-01,0.0
2023-12-01,0.0
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,0.0


 Definition: Captaciones de cuasi-dinero del BEV. Source: BCE
