date,MCUA0000
2010-01-01,9424.72
2010-02-01,9455.009999999998
2010-03-01,9574.539999999995
2010-04-01,9891.830000000002
2010-05-01,9971.79
2010-06-01,10213.64
2010-07-01,10438.94
2010-08-01,10524.03
2010-09-01,10548.8
2010-10-01,10689.420000000002
2010-11-01,10843.490000000002
2010-12-01,11413.22
2011-01-01,11236.35
2011-02-01,11441.14
2011-03-01,11848.839999999998
2011-04-01,12376.499999999996
2011-05-01,12438.89
2011-06-01,12631.44
2011-07-01,12927.14
2011-08-01,13176.23
2011-09-01,13614.42
2011-10-01,13780.94
2011-11-01,13714.86
2011-12-01,14464.010000000002
2012-01-01,14412.78
2012-02-01,14836.3
2012-03-01,15103.009999999998
2012-04-01,15374.52
2012-05-01,15622.009999999998
2012-06-01,15796.53
2012-07-01,15698.63
2012-08-01,15944.45
2012-09-01,15900.739999999998
2012-10-01,16089.98
2012-11-01,15961.34
2012-12-01,16393.88
2013-01-01,16422.920000000002
2013-02-01,16620.629999999997
2013-03-01,16560.09
2013-04-01,16785.850000000002
2013-05-01,16927.649999999998
2013-06-01,17053.68
2013-07-01,17094.929999999997
2013-08-01,17595.32
2013-09-01,17566.41
2013-10-01,17839.11
2013-11-01,18133.11
2013-12-01,18778.71
2014-01-01,18821.17
2014-02-01,19042.56
2014-03-01,19039.41
2014-04-01,19367.1
2014-05-01,19553.8
2014-06-01,19675.8
2014-07-01,19859.209999999995
2014-08-01,20127.06
2014-09-01,20071.64
2014-10-01,20578.09
2014-11-01,20625.29
2014-12-01,21409.05
2015-01-01,21061.67
2015-02-01,21210.15
2015-03-01,21277.91
2015-04-01,21376.46
2015-05-01,21408.74
2015-06-01,21036.02
2015-07-01,21119.98
2015-08-01,20768.43
2015-09-01,20575.06
2015-10-01,20617.21
2015-11-01,20359.85000000001
2015-12-01,20608.95
2016-01-01,20932.51
2016-02-01,20690.550000000003
2016-03-01,20860.77
2016-04-01,20995.61
2016-05-01,20779.320000000003
2016-06-01,21115.0
2016-07-01,21371.14
2016-08-01,22072.88
2016-09-01,22462.910000000003
2016-10-01,22812.65
2016-11-01,22861.36
2016-12-01,23553.47
2017-01-01,23345.29
2017-02-01,23786.56
2017-03-01,24042.99
2017-04-01,24468.49
2017-05-01,24425.66
2017-06-01,24761.78
2017-07-01,24687.62
2017-08-01,24782.18
2017-09-01,24879.21
2017-10-01,25016.58
2017-11-01,25178.51
2017-12-01,26260.27
2018-01-01,25962.45
2018-02-01,26273.08
2018-03-01,26725.710000000003
2018-04-01,27121.31
2018-05-01,27016.83
2018-06-01,27202.360000000004
2018-07-01,27316.23
2018-08-01,27365.49
2018-09-01,27628.18
2018-10-01,27564.620000000003
2018-11-01,27625.08
2018-12-01,28404.800000000003
2019-01-01,28229.69
2019-02-01,28515.36
2019-03-01,28751.17
2019-04-01,29128.430000000004
2019-05-01,29313.86
2019-06-01,29550.75
2019-07-01,29758.73
2019-08-01,30338.050000000003
2019-09-01,30171.340000000004
2019-10-01,30562.48
2019-11-01,30783.899999999998
2019-12-01,31770.98
2020-01-01,31878.85
2020-02-01,32050.9
2020-03-01,31577.62
2020-04-01,31748.570000000003
2020-05-01,31811.48
2020-06-01,31992.94
2020-07-01,32357.36
2020-08-01,32812.189999999995
2020-09-01,33209.770000000004
2020-10-01,34143.56
2020-11-01,33828.11
2020-12-01,35411.82
2021-01-01,35315.64
2021-02-01,35381.80000000001
2021-03-01,35495.689999999995
2021-04-01,36090.23
2021-05-01,36218.116944
2021-06-01,36797.812577
2021-07-01,37252.036919
2021-08-01,37645.183860000005
2021-09-01,38183.48852299999
2021-10-01,38531.33210000001
2021-11-01,38491.40794800001
2021-12-01,39820.42633
2022-01-01,39649.323295
2022-02-01,40491.778172000006
2022-03-01,40856.854696
2022-04-01,41243.653516
2022-05-01,41547.66332000001
2022-06-01,41849.594964
2022-07-01,42257.252389
2022-08-01,42844.175646
2022-09-01,43230.159132
2022-10-01,43438.357414000006
2022-11-01,43752.904453
2022-12-01,45119.519613
2023-01-01,44920.431684
2023-02-01,45386.015062
2023-03-01,45980.645541000005
2023-04-01,46748.575130000005
2023-05-01,46584.831008
2023-06-01,46822.6577289999
2023-07-01,46983.50593299991
2023-08-01,47853.18568
2023-09-01,48118.20086900001
2023-10-01,48302.668268
2023-11-01,48419.312561
2023-12-01,49854.622163
2024-01-01,49394.628809
2024-02-01,50176.558089
2024-03-01,50692.5337579999
2024-04-01,51304.408684
2024-05-01,52000.331747
2024-06-01,52656.96353000001
2024-07-01,53175.125585
2024-08-01,54135.655691
2024-09-01,54537.625916000005
2024-10-01,55441.678341000006
2024-11-01,55621.124821000005
2024-12-01,57023.107385
2025-01-01,57399.32642099999


 Definition: Cuasi-dinero del Banco Central. Source: BCE
