date,MFLQ0000
2009-02-01,416838848.3
2009-03-01,408202733.88
2009-04-01,409321522.79
2009-05-01,408557158.66
2009-06-01,408496805.95
2009-07-01,408807499.43
2009-08-01,405491800.96
2009-09-01,414606144.58
2009-10-01,417732921.05
2009-11-01,416683325.22
2009-12-01,421622477.85
2010-01-01,474208398.45
2010-02-01,484641479.3
2010-03-01,490915470.47
2010-04-01,495847061.08
2010-05-01,503825880.9
2010-06-01,509182380.7
2010-07-01,513559561.08
2010-08-01,516987703.69
2010-09-01,520280179.21
2010-10-01,524636159.93
2010-11-01,526916715.28
2010-12-01,531371845.9
2011-01-01,593745042.27
2011-02-01,594367975.1
2011-03-01,594224460.01
2011-04-01,607615539.87
2011-05-01,623337732.66
2011-06-01,626728614.79
2011-07-01,631583900.97
2011-08-01,637763481.57
2011-09-01,644113093.21
2011-10-01,651582444.27
2011-11-01,661368893.36
2011-12-01,660353634.95
2012-01-01,724469078.38
2012-02-01,736737739.56
2012-03-01,744138053.68
2012-04-01,756839601.71
2012-05-01,769458167.56
2012-06-01,770244273.77
2012-07-01,769224560.3
2012-08-01,766233446.33
2012-09-01,764904329.39
2012-10-01,1197390226.74
2012-11-01,1196543154.49
2012-12-01,1214188938.23
2013-01-01,1535147426.09
2013-02-01,1550765214.96
2013-03-01,1545429060.58
2013-04-01,1564132584.34
2013-05-01,1570380664.03
2013-06-01,1569627598.61
2013-07-01,1578031955.48
2013-08-01,1585565408.9
2013-09-01,1595878671.4
2013-10-01,1605737047.11
2013-11-01,1609552463.02
2013-12-01,1642745777.6
2014-01-01,2036310127.65
2014-02-01,2045619431.95
2014-03-01,2031779986.48
2014-04-01,2041856347.36
2014-05-01,2054331261.44
2014-06-01,2051303071.98
2014-07-01,2068485649.31
2014-08-01,2082935979.46
2014-09-01,2099022517.94
2014-10-01,2101428674.44
2014-11-01,2097033956.23
2014-12-01,2114927889.22
2015-01-01,2509001265.3
2015-02-01,2505276312.99
2015-03-01,2467304684.33
2015-04-01,2446084190.22
2015-05-01,2450157586.85
2015-06-01,2391914513.57
2015-07-01,2362832558.83
2015-08-01,2336584121.61
2015-09-01,2311289349.39
2015-10-01,2270503336.73
2015-11-01,2240941249.19
2015-12-01,2233255684.69
2016-01-01,2238138209.28
2016-02-01,2234538935.0
2016-03-01,2269723955.84
2016-04-01,2291611108.37
2016-05-01,2326057429.25
2016-06-01,2308935178.28
2016-07-01,2312199682.83
2016-08-01,2328851482.75
2016-09-01,2359667937.61
2016-10-01,2349597173.94
2016-11-01,2390351786.74
2016-12-01,2390884246.13
2017-01-01,2452658492.58
2017-02-01,2452658492.58
2017-03-01,2490699989.28
2017-04-01,2511813713.86
2017-05-01,2536719015.24
2017-06-01,2498256026.32
2017-07-01,2504867146.03
2017-08-01,2506072645.53
2017-09-01,2490724562.9
2017-10-01,2479332987.5
2017-11-01,2475908200.72
2017-12-01,2517219136.22
2018-01-01,2588714090.83
2018-02-01,2608878974.94
2018-03-01,2602795981.81
2018-04-01,2643572356.85
2018-05-01,2645480593.18
2018-06-01,2606782411.2
2018-07-01,2602065775.82
2018-08-01,2610877949.87
2018-09-01,2622163882.55
2018-10-01,2621306857.8517456
2018-11-01,2589500920.07
2018-12-01,2645825627.12
2019-01-01,2693381395.32
2019-02-01,2688684585.0300007
2019-03-01,2694666418.0
2019-04-01,2733922479.98
2019-05-01,2771549625.37
2019-06-01,2745554903.54
2019-07-01,2749177362.28
2019-08-01,2755537571.93
2019-09-01,2775811373.26
2019-10-01,2779347099.14
2019-11-01,2775129611.23
2019-12-01,2780213101.86
2020-01-01,2912280052.78
2020-02-01,2954201515.0
2020-03-01,2972276682.77
2020-04-01,2233587398.25
2020-05-01,2220881153.88
2020-06-01,2207547321.92
2020-07-01,2213771612.7
2020-08-01,2226932177.87
2020-09-01,2241173913.46
2020-10-01,2259259743.63
2020-11-01,2283463655.26
2020-12-01,2299810669.79
2021-01-01,2349440625.14
2021-02-01,2369913051.48
2021-03-01,2363094579.95
2021-04-01,2371135197.95
2021-05-01,2374810793.23
2021-06-01,2378764275.13
2021-07-01,2386709872.6
2021-08-01,2395145523.38
2021-09-01,2402338403.05
2021-10-01,2343003568.95
2021-11-01,2359303811.54
2021-12-01,2376151335.11
2022-01-01,2396156290.32
2022-02-01,2405391297.42
2022-03-01,2403263253.42
2022-04-01,2423924857.02
2022-05-01,2427752170.12
2022-06-01,2405318918.63
2022-07-01,2402873429.14
2022-08-01,2400805005.18
2022-09-01,2405238127.36
2022-10-01,2431195509.94
2022-11-01,2437972903.88
2022-12-01,2481129712.76
2023-01-01,2526320193.29
2023-02-01,2551846808.03
2023-03-01,2563333791.52
2023-04-01,2590574839.22
2023-05-01,2604112273.82
2023-06-01,2580657749.51
2023-07-01,2571736511.02
2023-08-01,2575918876.89
2023-09-01,2587945863.53
2023-10-01,2610019715.95
2023-11-01,2604980478.12
2023-12-01,2744067762.2
2024-01-01,2794704727.69
2024-02-01,2793134657.54
2024-03-01,2783326951.13
2024-04-01,2812158257.15
2024-05-01,2821387534.43
2024-06-01,2834284264.35
2024-07-01,2821387534.43
2024-08-01,2905437666.23
2024-09-01,2945061151.4
2024-10-01,2979369646.87


 Definition: Fondo de liquidez. Source: COSEDE
