date,MINT0030
2006-01-01,7.94
2006-02-01,8.29
2006-03-01,8.52
2006-04-01,8.11
2006-05-01,7.42
2006-06-01,8.36
2006-07-01,8.5
2006-08-01,8.58
2006-09-01,7.56
2006-10-01,10.29
2006-11-01,8.75
2006-12-01,9.86
2007-01-01,8.9
2007-02-01,9.51
2007-03-01,9.38
2007-04-01,9.98
2007-05-01,9.35
2007-06-01,9.79
2007-07-01,10.92
2007-08-01,10.92
2007-09-01,11.82
2007-10-01,10.7
2007-11-01,10.55
2007-12-01,10.72
2008-01-01,10.74
2008-02-01,10.5
2008-03-01,10.43
2008-04-01,10.17
2008-05-01,10.14
2008-06-01,9.59
2008-07-01,9.52
2008-08-01,9.31
2008-09-01,9.31
2008-10-01,9.24
2008-11-01,9.18
2008-12-01,9.14
2009-01-01,9.16
2009-02-01,9.21
2009-03-01,9.24
2009-04-01,9.24
2009-05-01,9.26
2009-06-01,9.24
2009-07-01,9.22
2009-08-01,9.15
2009-09-01,9.15
2009-10-01,9.19
2009-11-01,9.19
2009-12-01,9.19
2010-01-01,9.13
2010-02-01,9.1
2010-03-01,9.21
2010-04-01,9.12
2010-05-01,9.11
2010-06-01,9.02
2010-07-01,8.99
2010-08-01,9.04
2010-09-01,9.04
2010-10-01,8.94
2010-11-01,8.94
2010-12-01,8.68
2011-01-01,8.59
2011-02-01,8.25
2011-03-01,8.65
2011-04-01,8.34
2011-05-01,8.34
2011-06-01,8.37
2011-07-01,8.37
2011-08-01,8.37
2011-09-01,8.37
2011-10-01,8.17
2011-11-01,8.17
2011-12-01,8.17
2012-01-01,8.17
2012-02-01,8.17
2012-03-01,8.17
2012-04-01,8.17
2012-05-01,8.17
2012-06-01,8.17
2012-07-01,8.17
2012-08-01,8.17
2012-09-01,8.17
2012-10-01,8.17
2012-11-01,8.17
2012-12-01,8.17
2013-01-01,8.17
2013-02-01,8.17
2013-03-01,8.17
2013-04-01,8.17
2013-05-01,8.17
2013-06-01,8.17
2013-07-01,8.17
2013-08-01,8.17
2013-09-01,8.17
2013-10-01,8.17
2013-11-01,8.17
2013-12-01,8.17
2014-01-01,8.17
2014-02-01,8.17
2014-03-01,8.17
2014-04-01,8.17
2014-05-01,7.64
2014-06-01,8.19
2014-07-01,8.21
2014-08-01,8.16
2014-09-01,7.86
2014-10-01,8.34
2014-11-01,8.13
2014-12-01,8.19
2015-01-01,7.84
2015-02-01,7.41
2015-03-01,7.31
2015-04-01,8.09
2015-05-01,8.45
2015-06-01,8.7
2015-07-01,8.54
2015-08-01,8.06
2015-09-01,8.06
2015-10-01,9.11
2015-11-01,9.22
2015-12-01,9.12
2016-01-01,9.15
2016-02-01,8.88
2016-03-01,8.86
2016-04-01,9.03
2016-05-01,8.89
2016-06-01,8.66
2016-07-01,8.67
2016-08-01,8.21
2016-09-01,8.78
2016-10-01,8.71
2016-11-01,8.38
2016-12-01,8.1
2017-01-01,8.02
2017-02-01,8.25
2017-03-01,8.14
2017-04-01,8.13
2017-05-01,7.37
2017-06-01,7.72
2017-07-01,8.15
2017-08-01,7.58
2017-09-01,8.19
2017-10-01,7.86
2017-11-01,7.79
2017-12-01,7.83
2018-01-01,7.72
2018-02-01,7.41
2018-03-01,7.26
2018-04-01,7.63
2018-05-01,6.67
2018-06-01,7.33
2018-07-01,7.48
2018-08-01,7.63
2018-09-01,8.01
2018-10-01,8.34
2018-11-01,8.47
2018-12-01,8.69
2019-01-01,7.99
2019-02-01,8.82
2019-03-01,8.75
2019-04-01,8.62
2019-05-01,8.62
2019-06-01,8.02
2019-07-01,8.26
2019-08-01,8.74
2019-09-01,8.65
2019-10-01,8.79
2019-11-01,8.68
2019-12-01,8.78
2020-01-01,8.68
2020-02-01,8.81
2020-03-01,8.77
2020-04-01,8.4
2020-05-01,8.98
2020-06-01,9.1
2020-07-01,9.12
2020-08-01,9.03
2020-09-01,9.02
2020-10-01,8.96
2020-11-01,8.83
2020-12-01,8.5
2021-01-01,8.58
2021-02-01,8.38
2021-03-01,8.12
2021-04-01,8.28
2021-05-01,9.33
2021-06-01,8.06
2021-07-01,8.12
2021-08-01,7.87
2021-09-01,7.57
2021-10-01,7.49
2021-11-01,7.64
2021-12-01,7.44
2022-01-01,7.39
2022-02-01,7.38
2022-03-01,7.23
2022-04-01,7.04
2022-05-01,6.74
2022-06-01,7.11
2022-07-01,7.31
2022-08-01,8.09
2022-09-01,8.45
2022-10-01,8.35
2022-11-01,8.49
2022-12-01,8.48
2023-01-01,8.54
2023-02-01,8.78
2023-03-01,8.96
2023-04-01,9.04
2023-05-01,8.96
2023-06-01,9.03
2023-07-01,9.02
2023-08-01,9.29
2023-09-01,9.49
2023-10-01,9.48
2023-11-01,9.8
2023-12-01,9.94
2024-01-01,10.14
2024-02-01,10.34
2024-03-01,10.53
2024-04-01,10.87
2024-05-01,11.12
2024-06-01,11.4
2024-07-01,11.63
2024-08-01,11.12
2024-09-01,11.68
2024-10-01,11.25
2024-11-01,10.73
2024-12-01,10.43


 Definition: Tasas de interés referenciales: Activa. Source: BCE
