date,MOFE0000
2010-01-01,8933.606434999998
2010-02-01,9039.951151999998
2010-03-01,9256.072182999998
2010-04-01,9228.352008
2010-05-01,9372.402725999998
2010-06-01,9350.594319
2010-07-01,9517.872873
2010-08-01,9777.180658
2010-09-01,9795.858371
2010-10-01,9976.828132
2010-11-01,10156.67134
2010-12-01,10776.146858
2011-01-01,10442.459472
2011-02-01,10539.79293
2011-03-01,10877.900111
2011-04-01,10768.357510000002
2011-05-01,10892.413537
2011-06-01,11074.806793
2011-07-01,11280.37785
2011-08-01,11331.798043
2011-09-01,11234.281038
2011-10-01,11292.809611
2011-11-01,11243.772395
2011-12-01,12092.96729
2012-01-01,11915.685531
2012-02-01,11895.744576
2012-03-01,12443.827887
2012-04-01,12298.017948
2012-05-01,12537.273122
2012-06-01,12423.696954
2012-07-01,12405.678527
2012-08-01,12512.032354
2012-09-01,12542.088492
2012-10-01,12853.094697
2012-11-01,13336.640575
2012-12-01,14511.624746
2013-01-01,14003.535012
2013-02-01,13992.34306
2013-03-01,14111.166092
2013-04-01,14072.445339999998
2013-05-01,14500.440099999998
2013-06-01,14184.453854
2013-07-01,14281.928149999998
2013-08-01,14460.121181999995
2013-09-01,14598.490627
2013-10-01,14764.845649
2013-11-01,15001.807684
2013-12-01,16272.426196
2014-01-01,15549.409066
2014-02-01,15624.835326999995
2014-03-01,15839.393411
2014-04-01,15769.821893
2014-05-01,15909.768534
2014-06-01,16276.084304
2014-07-01,16468.456704
2014-08-01,16981.998120999997
2014-09-01,17247.022347
2014-10-01,17311.160380999998
2014-11-01,17736.883716999997
2014-12-01,18695.317026999997
2015-01-01,18052.328008
2015-02-01,17847.905358999997
2015-03-01,18282.969416
2015-04-01,18172.626051
2015-05-01,18157.936736
2015-06-01,18279.717737
2015-07-01,18601.875381
2015-08-01,18772.184576
2015-09-01,18429.3076
2015-10-01,18436.044582
2015-11-01,18482.327133
2015-12-01,19041.653119
2016-01-01,18841.476864
2016-02-01,19250.481121
2016-03-01,19534.075274
2016-04-01,19551.04337
2016-05-01,19867.406175
2016-06-01,20216.58834
2016-07-01,20253.320799
2016-08-01,20631.449662
2016-09-01,20794.539335
2016-10-01,20805.080929
2016-11-01,21140.031998
2016-12-01,22634.800894999997
2017-01-01,21912.186023
2017-02-01,22193.523038
2017-03-01,23032.941801
2017-04-01,22842.298135
2017-05-01,22703.751416000003
2017-06-01,22824.908335000004
2017-07-01,22812.303501
2017-08-01,22992.928506
2017-09-01,22779.334783
2017-10-01,23149.968643
2017-11-01,23657.004138
2017-12-01,24530.511715
2018-01-01,23951.929211
2018-02-01,24065.587391
2018-03-01,24427.190895
2018-04-01,23979.424137
2018-05-01,23880.579013999995
2018-06-01,24057.50286
2018-07-01,23983.440972000004
2018-08-01,24297.850508000003
2018-09-01,24092.290029
2018-10-01,24261.754662
2018-11-01,24542.603978
2018-12-01,25259.942392
2019-01-01,24643.713551
2019-02-01,24901.062931
2019-03-01,24995.886431
2019-04-01,24883.392958
2019-05-01,24695.291376
2019-06-01,24720.53817
2019-07-01,24921.386671
2019-08-01,25033.935854
2019-09-01,24989.002026
2019-10-01,25209.838733
2019-11-01,25363.349601
2019-12-01,26196.710652
2020-01-01,25715.647697
2020-02-01,26136.507665
2020-03-01,26319.277790999997
2020-04-01,26715.362233
2020-05-01,27138.480952999995
2020-06-01,27401.060169
2020-07-01,27144.521542999995
2020-08-01,27274.794937
2020-09-01,27283.207632
2020-10-01,27320.853209
2020-11-01,27491.455236
2020-12-01,28409.496309
2021-01-01,27826.334069
2021-02-01,27818.046655999995
2021-03-01,28433.190716
2021-04-01,28241.929771
2021-05-01,28295.870014
2021-06-01,28252.738818
2021-07-01,28472.714895
2021-08-01,28673.297346
2021-09-01,28930.546084
2021-10-01,29161.433482
2021-11-01,29428.05859
2021-12-01,30254.961211
2022-01-01,29590.12412
2022-02-01,29554.670658
2022-03-01,30176.474871
2022-04-01,29664.741318999997
2022-05-01,29594.130479999996
2022-06-01,29541.446704999995
2022-07-01,29414.372518999997
2022-08-01,29650.807524
2022-09-01,29507.658323
2022-10-01,29442.376919999995
2022-11-01,29667.626866999995
2022-12-01,30190.795726119995
2023-01-01,29932.286073899995
2023-02-01,29945.172392639997
2023-03-01,30788.161495389995
2023-04-01,29948.66023043
2023-05-01,29954.211314849992
2023-06-01,29696.36201033998
2023-07-01,29579.50476818998
2023-08-01,29807.87377140998
2023-09-01,29606.27338708999
2023-10-01,29676.942282479988
2023-11-01,29967.922238989984
2023-12-01,30488.990012269984
2024-01-01,29914.04721677999
2024-02-01,29922.62758714999
2024-03-01,30055.162565379967
2024-04-01,29888.513981999982
2024-05-01,29633.508683339987
2024-06-01,29738.436273719984
2024-07-01,29737.020029509986
2024-08-01,30027.805220369977
2024-09-01,30079.87382421998


 Definition: Oferta Monetaria del Banco Central M1 (MCIR0000+MFRA0000+MELE0000+MVIS0000). Source: BCE
