date,MPFN0021
2006-01-01,7132.900000000001
2006-02-01,7234.98
2006-03-01,7355.09
2006-04-01,7419.660000000001
2006-05-01,7552.19
2006-06-01,7690.96
2006-07-01,7780.389999999999
2006-08-01,7971.17
2006-09-01,8252.38
2006-10-01,8379.490000000002
2006-11-01,8556.15
2006-12-01,8795.080000000002
2007-01-01,8918.519999999999
2007-02-01,8966.32
2007-03-01,9121.67
2007-04-01,9150.1
2007-05-01,9272.77
2007-06-01,9405.09
2007-07-01,9554.27
2007-08-01,9671.41
2007-09-01,9759.98
2007-10-01,9834.6
2007-11-01,9940.48
2007-12-01,10140.79
2008-01-01,10266.08
2008-02-01,10354.95
2008-03-01,10561.28
2008-04-01,10738.41
2008-05-01,10962.08
2008-06-01,11220.86
2008-07-01,11496.23
2008-08-01,11908.38
2008-09-01,12230.64
2008-10-01,12488.81
2008-11-01,12817.37
2008-12-01,12974.57
2009-01-01,12893.000000000002
2009-02-01,12839.54
2009-03-01,12599.43
2009-04-01,12377.74
2009-05-01,12309.930000000002
2009-06-01,12262.04
2009-07-01,12361.32
2009-08-01,12417.19
2009-09-01,12565.46
2009-10-01,12715.29
2009-11-01,12938.04
2009-12-01,13198.159999999998
2010-01-01,13092.64
2010-02-01,13155.08
2010-03-01,13366.61
2010-04-01,13746.34
2010-05-01,14049.920000000002
2010-06-01,14372.590000000002
2010-07-01,14710.02
2010-08-01,15021.5
2010-09-01,15384.89
2010-10-01,15683.04
2010-11-01,15974.63
2010-12-01,16348.54
2011-01-01,16485.14
2011-02-01,16652.27
2011-03-01,16917.53
2011-04-01,17336.27
2011-05-01,17586.35
2011-06-01,17642.63
2011-07-01,17968.57
2011-08-01,18341.66
2011-09-01,18870.709999999995
2011-10-01,19201.88
2011-11-01,19575.79
2011-12-01,19876.43
2012-01-01,19815.120000000003
2012-02-01,19980.15
2012-03-01,20421.47
2012-04-01,20817.85
2012-05-01,21077.46
2012-06-01,21394.18
2012-07-01,21605.520000000004
2012-08-01,21882.95
2012-09-01,22304.710000000003
2012-10-01,22442.860000000004
2012-11-01,22553.95
2012-12-01,22672.91
2013-01-01,22642.12
2013-02-01,22574.69
2013-03-01,22827.4
2013-04-01,23109.51
2013-05-01,23287.39
2013-06-01,23592.75
2013-07-01,23868.050000000003
2013-08-01,24185.38
2013-09-01,24380.34
2013-10-01,24476.599999999995
2013-11-01,24870.91
2013-12-01,25074.390000000003
2014-01-01,25000.49
2014-02-01,25331.65
2014-03-01,25526.51
2014-04-01,25874.01
2014-05-01,26144.03000000001
2014-06-01,26234.930000000004
2014-07-01,26454.83
2014-08-01,26707.48
2014-09-01,26961.27
2014-10-01,27287.8
2014-11-01,27542.47
2014-12-01,27926.53
2015-01-01,28126.33
2015-02-01,28538.96
2015-03-01,28692.15
2015-04-01,28803.02
2015-05-01,28639.230000000003
2015-06-01,28291.37
2015-07-01,28678.82
2015-08-01,28326.45
2015-09-01,28145.77
2015-10-01,27890.02
2015-11-01,27598.06
2015-12-01,27019.98
2016-01-01,26737.49
2016-02-01,26583.78
2016-03-01,26555.97
2016-04-01,26593.79
2016-05-01,26393.15
2016-06-01,26576.01
2016-07-01,26864.53
2016-08-01,27407.56
2016-09-01,27461.36
2016-10-01,27775.41
2016-11-01,27998.009999999995
2016-12-01,28482.68
2017-01-01,28419.63
2017-02-01,28668.020000000004
2017-03-01,29058.60000000001
2017-04-01,29692.25
2017-05-01,30146.31
2017-06-01,30389.22
2017-07-01,30761.620000000003
2017-08-01,31167.13
2017-09-01,31724.84999999999
2017-10-01,32235.83
2017-11-01,32868.28
2017-12-01,33501.73
2018-01-01,33802.55
2018-02-01,33926.42
2018-03-01,34296.74999999999
2018-04-01,34917.92
2018-05-01,35460.64
2018-06-01,35963.92
2018-07-01,36389.59
2018-08-01,36889.74
2018-09-01,37355.57
2018-10-01,37598.42
2018-11-01,38561.09
2018-12-01,38842.62999999999
2019-01-01,38809.79
2019-02-01,39061.98
2019-03-01,39511.85999999999
2019-04-01,39783.8
2019-05-01,40227.9
2019-06-01,40714.77
2019-07-01,41020.6
2019-08-01,41757.76
2019-09-01,42336.17999999999
2019-10-01,42588.65
2019-11-01,43004.740000000005
2019-12-01,43354.9
2020-01-01,43314.37
2020-02-01,43593.53
2020-03-01,43498.52
2020-04-01,43027.75
2020-05-01,43049.49
2020-06-01,43036.62
2020-07-01,42912.52
2020-08-01,42925.5
2020-09-01,43087.14
2020-10-01,43475.27
2020-11-01,43894.34
2020-12-01,44326.01
2021-01-01,44406.84
2021-02-01,44647.34
2021-03-01,45091.68
2021-04-01,45292.58
2021-05-01,45525.073829
2021-06-01,46298.90117599999
2021-07-01,46848.294774
2021-08-01,47618.498796
2021-09-01,48349.52860900001
2021-10-01,48949.807522
2021-11-01,49721.109048
2021-12-01,50372.336444
2022-01-01,50446.727798
2022-02-01,51319.779021
2022-03-01,52310.59102300001
2022-04-01,53081.608063
2022-05-01,53768.306318
2022-06-01,54205.49631
2022-07-01,54880.08841
2022-08-01,55691.318721
2022-09-01,56483.530791000005
2022-10-01,57081.61627400001
2022-11-01,57583.913565
2022-12-01,57893.054704
2023-01-01,58099.075417
2023-02-01,58582.382095
2023-03-01,59220.90607299999
2023-04-01,59690.508858
2023-05-01,60185.62931
2023-06-01,60755.5738959999
2023-07-01,61036.8700509999
2023-08-01,61492.13676099991
2023-09-01,62100.996746
2023-10-01,62502.113312
2023-11-01,62970.642976
2023-12-01,62907.920764
2024-01-01,62899.90895699999
2024-02-01,63115.842083
2024-03-01,63733.194567000006
2024-04-01,63789.02780499999
2024-05-01,64035.136461
2024-06-01,64444.80252899999
2024-07-01,64653.92073900001
2024-08-01,64941.078208
2024-09-01,65275.537779
2024-10-01,65557.02854500001
2024-11-01,66186.444346
2024-12-01,66532.86014199999
2025-01-01,66717.817539
2025-02-01,


 Definition: Panorama financiero de crédito al sector privado: Cartera. Source: BCE
