date,MVIS0000
2010-01-01,4872.219999999999
2010-02-01,5008.04
2010-03-01,5250.95
2010-04-01,5120.9400000000005
2010-05-01,5215.31
2010-06-01,5206.74
2010-07-01,5278.790000000001
2010-08-01,5478.389999999999
2010-09-01,5522.67
2010-10-01,5570.34
2010-11-01,5852.299999999999
2010-12-01,6148.33
2011-01-01,6022.110000000001
2011-02-01,6130.639999999999
2011-03-01,6449.47
2011-04-01,6209.46
2011-05-01,6371.44
2011-06-01,6431.6900000000005
2011-07-01,6535.23
2011-08-01,6583.85
2011-09-01,6408.5
2011-10-01,6417.280000000001
2011-11-01,6383.74
2011-12-01,6718.79
2012-01-01,6874.13
2012-02-01,6890.549999999999
2012-03-01,7300.46
2012-04-01,7003.6900000000005
2012-05-01,7247.7
2012-06-01,7084.469999999999
2012-07-01,6949.83
2012-08-01,6911.38
2012-09-01,6950.85
2012-10-01,7154.529999999999
2012-11-01,7491.93
2012-12-01,8100.37
2013-01-01,7876.77
2013-02-01,7829.950000000001
2013-03-01,7735.47
2013-04-01,7528.959999999999
2013-05-01,7854.719999999999
2013-06-01,7508.26
2013-07-01,7532.84
2013-08-01,7508.839999999999
2013-09-01,7592.33
2013-10-01,7685.32
2013-11-01,8024.18
2013-12-01,8818.04
2014-01-01,8334.61
2014-02-01,8224.529999999999
2014-03-01,8345.01
2014-04-01,8035.210000000001
2014-05-01,8095.790000000001
2014-06-01,8359.8
2014-07-01,8366.52
2014-08-01,8567.96
2014-09-01,8761.35
2014-10-01,8560.7
2014-11-01,8852.289999999999
2014-12-01,9068.759999999998
2015-01-01,8697.380000000001
2015-02-01,8426.369999999999
2015-03-01,8720.310000000001
2015-04-01,7936.76
2015-05-01,8006.019999999999
2015-06-01,7990.02
2015-07-01,7936.84
2015-08-01,7848.07
2015-09-01,7500.49
2015-10-01,7242.06
2015-11-01,7290.07
2015-12-01,7200.950000000001
2016-01-01,7261.449999999999
2016-02-01,7661.47
2016-03-01,7886.44
2016-04-01,7429.42
2016-05-01,7763.43
2016-06-01,8098.41
2016-07-01,8006.08
2016-08-01,8253.220000000001
2016-09-01,8338.71
2016-10-01,8336.4
2016-11-01,8635.59
2016-12-01,9281.36
2017-01-01,8838.57
2017-02-01,8950.74
2017-03-01,9636.68
2017-04-01,9163.56
2017-05-01,8963.52
2017-06-01,8998.26
2017-07-01,8939.61
2017-08-01,8952.81
2017-09-01,8719.170000000002
2017-10-01,9007.79
2017-11-01,9391.37
2017-12-01,9577.64
2018-01-01,9363.63
2018-02-01,9461.65
2018-03-01,9613.58
2018-04-01,9032.39
2018-05-01,8997.23
2018-06-01,9062.57
2018-07-01,8896.220000000001
2018-08-01,9023.21
2018-09-01,8856.86
2018-10-01,8851.09
2018-11-01,9112.7
2018-12-01,9260.52
2019-01-01,9059.66
2019-02-01,9304.35
2019-03-01,9299.27
2019-04-01,9007.78
2019-05-01,8803.39
2019-06-01,8794.55
2019-07-01,8950.42
2019-08-01,8818.66
2019-09-01,8861.69
2019-10-01,8735.119999999999
2019-11-01,8894.41
2019-12-01,9150.0
2020-01-01,8952.66
2020-02-01,9373.3
2020-03-01,9103.89
2020-04-01,8787.46
2020-05-01,8905.93
2020-06-01,9111.080000000002
2020-07-01,9044.23
2020-08-01,9250.89
2020-09-01,9352.98
2020-10-01,9711.93
2020-11-01,9979.71
2020-12-01,10369.63
2021-01-01,10067.74
2021-02-01,10078.89
2021-03-01,10617.83
2021-04-01,10233.39
2021-05-01,10284.409182
2021-06-01,10267.635796
2021-07-01,10468.739592000002
2021-08-01,10637.916524
2021-09-01,10884.778196
2021-10-01,10806.917424
2021-11-01,11217.060805
2021-12-01,11486.613642
2022-01-01,11154.166112
2022-02-01,11031.638286
2022-03-01,11732.104835
2022-04-01,11020.25036
2022-05-01,11071.819263
2022-06-01,10900.652412
2022-07-01,10778.324487999998
2022-08-01,10975.824698
2022-09-01,10818.185458
2022-10-01,10665.382394
2022-11-01,10621.637167
2022-12-01,10876.709904
2023-01-01,10944.519064
2023-02-01,10979.501769
2023-03-01,11704.536658
2023-04-01,10701.32855
2023-05-01,10756.436086
2023-06-01,10488.51002499999
2023-07-01,10342.64264699999
2023-08-01,10471.53541199999
2023-09-01,10214.920025
2023-10-01,10256.730626
2023-11-01,10575.291074
2023-12-01,10583.358516
2024-01-01,10331.001946
2024-02-01,10329.347117
2024-03-01,10417.59484799998
2024-04-01,10142.302056
2024-05-01,9905.910473
2024-06-01,9969.580748
2024-07-01,10002.944968
2024-08-01,10147.932324
2024-09-01,10237.142601
2024-10-01,10477.650579
2024-11-01,10989.351442


 Definition: Depósitos a la vista del Banco Central. Source: BCE
