date,RCAR0000
2017-01-01,14961
2017-02-01,16248
2017-03-01,19695
2017-04-01,19255
2017-05-01,22432
2017-06-01,23890
2017-07-01,25528
2017-08-01,23406
2017-09-01,25420
2017-10-01,25287
2017-11-01,30996
2017-12-01,28202
2018-01-01,44187
2018-02-01,29488
2018-03-01,32526
2018-04-01,27838
2018-05-01,34068
2018-06-01,29270
2018-07-01,27865
2018-08-01,27150
2018-09-01,27333
2018-10-01,28855
2018-11-01,31152
2018-12-01,26964
2019-01-01,53596
2019-02-01,30949
2019-03-01,28265
2019-04-01,28123
2019-05-01,32113
2019-06-01,28402
2019-07-01,26841
2019-08-01,28555
2019-09-01,24767
2019-10-01,27621
2019-11-01,32132
2019-12-01,24990
2020-01-01,43934
2020-02-01,29649
2020-03-01,14203
2020-04-01,10898
2020-05-01,14649
2020-06-01,23755
2020-07-01,26754
2020-08-01,26569
2020-09-01,31036
2020-10-01,39642
2020-11-01,36803
2020-12-01,24295
2021-01-01,114586
2021-02-01,54096
2021-03-01,50355
2021-04-01,49274
2021-05-01,49139
2021-06-01,46556
2021-07-01,46277
2021-08-01,53317
2021-09-01,49630
2021-10-01,60098
2021-11-01,47940
2021-12-01,39794
2022-01-01,95267
2022-02-01,76002
2022-03-01,52942
2022-04-01,47460
2022-05-01,43832
2022-06-01,38573
2022-07-01,48013
2022-08-01,48922
2022-09-01,45076
2022-10-01,43746
2022-11-01,50349
2022-12-01,39342
2023-01-01,64159
2023-02-01,36577
2023-03-01,47670
2023-04-01,45588
2023-05-01,46305
2023-06-01,46875
2023-07-01,47780
2023-08-01,48990
2023-09-01,39281
2023-10-01,46712
2023-11-01,51758
2023-12-01,33431
2024-01-01,35695
2024-02-01,35906
2024-03-01,45662
2024-04-01,44697
2024-05-01,43822
2024-06-01,36509
2024-07-01,36385
2024-08-01,37539
2024-09-01,35029
2024-10-01,35852
2024-11-01,37879


 Definition: Vehículos nuevos y reportados de ventas al SRI. Source: SRI
