date,RCOM0001
2017-01-01,5320716992
2017-02-01,5568430478
2017-03-01,6667384067
2017-04-01,6059048200
2017-05-01,6517461029
2017-06-01,7389832313
2017-07-01,6275899036
2017-08-01,6460930514
2017-09-01,6505024290
2017-10-01,6885955714
2017-11-01,7378268541
2017-12-01,10201205002
2018-01-01,5754392775
2018-02-01,5839900276
2018-03-01,6590760892
2018-04-01,6404201723
2018-05-01,6817770923
2018-06-01,7648818578
2018-07-01,6791643382
2018-08-01,7055696844
2018-09-01,7156453709
2018-10-01,7203321673
2018-11-01,7497238811
2018-12-01,10187086563
2019-01-01,6115450338
2019-02-01,6075366974
2019-03-01,6329719141
2019-04-01,6808307393
2019-05-01,7288009648
2019-06-01,7399777405
2019-07-01,6890474621
2019-08-01,6822113230
2019-09-01,6804460124
2019-10-01,6790879384
2019-11-01,7181899589
2019-12-01,10510900343
2020-01-01,5891377074
2020-02-01,5912187897
2020-03-01,4612344777
2020-04-01,3012764394
2020-05-01,3630977958
2020-06-01,5656893856
2020-07-01,5009763483
2020-08-01,5145611971
2020-09-01,5669294604
2020-10-01,6030760023
2020-11-01,6107718334
2020-12-01,9878804345
2021-01-01,4953190444
2021-02-01,5161701331
2021-03-01,6167186125
2021-04-01,5912587384
2021-05-01,6020869086
2021-06-01,10061513260
2021-07-01,6462315074
2021-08-01,6542902025
2021-09-01,6818633726
2021-10-01,6814349423
2021-11-01,7413684805
2021-12-01,11499151905
2022-01-01,5665024360
2022-02-01,6004325870
2022-03-01,7129539760
2022-04-01,6944831764
2022-05-01,7011654665
2022-06-01,9389011885
2022-07-01,7161588038
2022-08-01,7511593061
2022-09-01,7556064964
2022-10-01,7559762603
2022-11-01,8038380179
2022-12-01,13226167372
2023-01-01,6348671508
2023-02-01,6343887470
2023-03-01,7569343607
2023-04-01,7025521932
2023-05-01,7420560754
2023-06-01,10994678130
2023-07-01,7246882844
2023-08-01,7487203291
2023-09-01,7532946375
2023-10-01,7583988567
2023-11-01,7906201875
2023-12-01,13595985516
2024-01-01,6166709120
2024-02-01,6455299437
2024-03-01,7930679859
2024-04-01,64214549
2024-05-01,6996121891
2024-06-01,9141031240
2024-07-01,7186107672
2024-08-01,7092803156
2024-09-01,7210831247
2024-10-01,7541940157
2024-11-01,7691644302


 Definition: Compras y adquisiciones declaradas por el propio contribuyente con tarifa diferente de cero. Source: SRI
