date,RGDP0000
2000-01-01,12520778.687489288
2000-04-01,12842902.52588638
2000-07-01,13330523.829877738
2000-10-01,13463834.91081762
2001-01-01,13395318.603441348
2001-04-01,13593945.9221362
2001-07-01,13642427.079571202
2001-10-01,13720257.630662244
2002-01-01,14014020.770764008
2002-04-01,14275847.607411848
2002-07-01,14390149.37462636
2002-10-01,14350447.91373428
2003-01-01,14599440.579962565
2003-04-01,14458730.215746278
2003-07-01,14662288.145426529
2003-10-01,14955051.10277862
2004-01-01,15264719.254443346
2004-04-01,15553202.997167043
2004-07-01,15805215.99314337
2004-10-01,16061315.582038848
2005-01-01,16290604.884253608
2005-04-01,16512398.673537046
2005-07-01,16542746.680158991
2005-10-01,16722799.79645862
2006-01-01,16972764.58713077
2006-04-01,17207706.959879342
2006-07-01,17425878.18365543
2006-10-01,17330324.13717489
2007-01-01,17292655.876310788
2007-04-01,17407116.813999686
2007-07-01,17692523.93532501
2007-10-01,17855848.469465967
2008-01-01,18323365.302243374
2008-04-01,18572269.10208831
2008-07-01,18882346.434925064
2008-10-01,19081900.24423511
2009-01-01,19048194.13039755
2009-04-01,18961052.706925265
2009-07-01,18867992.407826666
2009-10-01,18799372.209586117
2010-01-01,19164426.619299263
2010-04-01,19406796.337221608
2010-07-01,19785292.117011577
2010-10-01,20369211.06998165
2011-01-01,20737236.79514908
2011-04-01,21251886.24387591
2011-07-01,21604093.235674314
2011-10-01,21809614.285273097
2012-01-01,22186857.44001458
2012-04-01,22414576.313090112
2012-07-01,22779924.614087425
2012-10-01,22960498.89275724
2013-01-01,23530150.979485545
2013-04-01,23991557.978591003
2013-07-01,24619807.875395227
2013-10-01,24715105.00107912
2014-01-01,24775970.485815305
2014-04-01,25109867.71191295
2014-07-01,25547157.29657792
2014-10-01,25516850.617494848
2015-01-01,25662989.610427625
2015-04-01,24904872.92959071
2015-07-01,25369058.9766848
2015-10-01,25133753.14992572
2016-01-01,24779695.26110811
2016-04-01,24858919.545370743
2016-07-01,24960917.53990503
2016-10-01,25775821.65775189
2017-01-01,26681922.738546032
2017-04-01,26830156.278669763
2017-07-01,26304819.33676911
2017-10-01,26551265.76149323
2018-01-01,26889942.88153103
2018-04-01,26905269.59857973
2018-07-01,26917973.016962625
2018-10-01,26765775.50292663
2019-01-01,26751271.672862247
2019-04-01,27030494.289185856
2019-07-01,26959500.646657567
2019-10-01,26915469.39129443
2020-01-01,26821470.06676681
2020-04-01,21717177.324707955
2020-07-01,24018165.724557348
2020-10-01,25146954.06567081
2021-01-01,25433528.84866128
2021-04-01,26662887.747724798
2021-07-01,27214963.50948495
2021-10-01,27985350.46623136
2022-01-01,27914324.98956236
2022-04-01,28227607.496743504
2022-07-01,29039345.571703844
2022-10-01,28752977.788461037
2023-01-01,29198418.773074187
2023-04-01,29637643.77143684
2023-07-01,29244040.086770512
2023-10-01,28537553.296611916
2024-01-01,29541861.55019202


 Definition: PIB Trimestral. Series Original y Ajustada, encadenadas de volumen con año de referencia 2018. Source: BCE
