date,RIND0122
2022-01-01,32.977131
2022-02-01,34.0327
2022-03-01,36.078247
2022-04-01,36.879559
2022-05-01,34.247356
2022-06-01,33.641048
2022-07-01,34.578045
2022-08-01,35.362427
2022-09-01,36.623745
2022-10-01,34.575104
2022-11-01,34.451656
2022-12-01,36.109669
2023-01-01,37.206158
2023-02-01,36.088947
2023-03-01,35.625431
2023-04-01,36.689564
2023-05-01,34.74284
2023-06-01,34.952965
2023-07-01,35.849422
2023-08-01,35.244442
2023-09-01,35.884396
2023-10-01,35.098515
2023-11-01,36.85291290283203
2023-12-01,37.99468994140625
2024-01-01,36.98284149169922
2024-02-01,38.057273864746094
2024-03-01,37.10383605957031
2024-04-01,39.728607177734375
2024-05-01,37.69012069702149


 Definition: Indice de Confianza del Consumidor, Rural. Source: BCE
