date,RVAR0001
2017-01-01,46643
2017-02-01,44531
2017-03-01,50419
2017-04-01,49214
2017-05-01,48767
2017-06-01,48134
2017-07-01,50304
2017-08-01,50179
2017-09-01,48952
2017-10-01,47939
2017-11-01,45960
2017-12-01,45430
2018-01-01,53800
2018-02-01,52035
2018-03-01,54784
2018-04-01,52956
2018-05-01,51121
2018-06-01,50414
2018-07-01,52708
2018-08-01,49118
2018-09-01,49250
2018-10-01,49999
2018-11-01,48254
2018-12-01,48123
2019-01-01,52560
2019-02-01,52880
2019-03-01,54684
2019-04-01,57756
2019-05-01,53659
2019-06-01,51644
2019-07-01,57408
2019-08-01,55804
2019-09-01,54735
2019-10-01,53018
2019-11-01,52968
2019-12-01,51435
2020-01-01,53317
2020-02-01,52317
2020-03-01,50877
2020-04-01,40089
2020-05-01,42736
2020-06-01,48384
2020-07-01,53961
2020-08-01,48802
2020-09-01,50956
2020-10-01,49489
2020-11-01,47091
2020-12-01,44700
2021-01-01,56711
2021-02-01,56455
2021-03-01,61517
2021-04-01,57286
2021-05-01,54451
2021-06-01,54028
2021-07-01,59503
2021-08-01,54215
2021-09-01,53197
2021-10-01,53990
2021-11-01,60331
2021-12-01,59533
2022-01-01,71054
2022-02-01,63552
2022-03-01,72801
2022-04-01,65134
2022-05-01,3682
2022-06-01,56814
2022-07-01,62592
2022-08-01,59101
2022-09-01,58417
2022-10-01,55178
2022-11-01,54335
2022-12-01,53722
2023-01-01,60464
2023-02-01,56170
2023-03-01,68597
2023-04-01,65178
2023-05-01,60510
2023-06-01,56658
2023-07-01,62620
2023-08-01,56871
2023-09-01,53931
2023-10-01,51775
2023-11-01,49899
2023-12-01,47910
2024-01-01,57893
2024-02-01,56159
2024-03-01,62266
2024-04-01,61327
2024-05-01,56899
2024-06-01,53500
2024-07-01,61736
2024-08-01,53425
2024-09-01,50804


 Definition: SRI valores recaudados mensualmente, total de transacciones. Source: SRI
