date,TEXP0010
2022-01-01,765691.6542
2022-02-01,851203.89851
2022-03-01,1240156.98386
2022-04-01,1050346.43291
2022-05-01,1108077.08551
2022-06-01,1221023.40354
2022-07-01,965750.1554
2022-08-01,941068.64084
2022-09-01,859692.51773
2022-10-01,855715.12611
2022-11-01,862058.35569
2022-12-01,866169.09104
2023-01-01,653978.57728
2023-02-01,635374.7921
2023-03-01,610453.291351
2023-04-01,719321.140967
2023-05-01,717874.38412
2023-06-01,652553.31837
2023-07-01,772495.96173
2023-08-01,817871.205571
2023-09-01,1100327.099303
2023-10-01,746981.808769
2023-11-01,831057.32668
2023-12-01,693309.12256
2024-01-01,874151.871675
2024-02-01,763917.36406
2024-03-01,879449.61887
2024-04-01,897525.433091
2024-05-01,907458.52238
2024-06-01,667512.59023
2024-07-01,793692.40627
2024-08-01,912244.51971
2024-09-01,688619.44147
2024-10-01,849153.77249
2024-11-01,630469.673271
2024-12-01,708094.13728


 Definition: Exportaciones petroleras, Total. Source: BCE
