date,TIMP0012
2023-01-01,160678.610656
2023-02-01,187161.122142
2023-03-01,219531.567685
2023-04-01,180226.532967
2023-05-01,207302.744602
2023-06-01,212914.251801
2023-07-01,204959.71767
2023-08-01,244405.29417
2023-09-01,216640.296805
2023-10-01,239596.224917
2023-11-01,196618.162378
2023-12-01,194468.696534
2024-01-01,171178.670392
2024-02-01,155480.836431
2024-03-01,190471.574951
2024-04-01,179547.948995
2024-05-01,163695.289115
2024-06-01,155844.489799
2024-07-01,170335.314644
2024-08-01,186651.306133
2024-09-01,179063.90253
2024-10-01,183216.573133
2024-11-01,155432.099009
2024-12-01,167499.794307
2025-01-01,147402.680361
2025-02-01,151787.576917


 Definition: Importaciones de bienes de consumo: Duraderos. Source: BCE
