date,TSER0000
2016-03-31,-180.0389099119368
2016-06-30,-255.8795363301906
2016-09-30,-334.2194312625579
2016-12-31,-340.5646449098656
2017-03-31,-153.67740443410185
2017-06-30,-219.77086137504443
2017-09-30,-250.5441758366901
2017-12-31,-293.79178832332445
2018-03-31,-174.95431976872965
2018-06-30,-177.0648716564698
2018-09-30,-273.6288749284711
2018-12-31,-359.394703729193
2019-03-31,-239.1269038633948
2019-06-30,-260.99039161071835
2019-09-30,-332.9216562529193
2019-12-31,-322.2809324452496
2020-03-31,-247.1051917006074
2020-06-30,-264.67293265139057
2020-09-30,-250.3125044112253
2020-12-31,-375.5467363903764
2021-03-31,-421.9926029855768
2021-06-30,-468.9769192105449
2021-09-30,-563.7730100673552
2021-12-31,-725.0014879933627
2022-03-31,-711.3284668293106
2022-06-30,-612.4137722648211
2022-09-30,-681.185236982357
2022-12-31,-595.9110721698146
2023-03-31,-389.4112205530983
2023-06-30,-449.2442282095028
2023-09-30,-587.5621393435454
2023-12-31,-514.0350398907651
2024-03-31,-515.1465710235575
2024-06-30,-466.8684001913116
2024-09-30,-688.5202087766119


 Definition: Servicios. Source: BCE
