date,UGOO035
2004-01-01,100
2004-02-01,0
2004-03-01,0
2004-04-01,0
2004-05-01,74
2004-06-01,0
2004-07-01,96
2004-08-01,0
2004-09-01,0
2004-10-01,0
2004-11-01,85
2004-12-01,77
2005-01-01,0
2005-02-01,63
2005-03-01,92
2005-04-01,50
2005-05-01,40
2005-06-01,75
2005-07-01,76
2005-08-01,0
2005-09-01,77
2005-10-01,61
2005-11-01,63
2005-12-01,76
2006-01-01,37
2006-02-01,60
2006-03-01,66
2006-04-01,60
2006-05-01,77
2006-06-01,49
2006-07-01,70
2006-08-01,64
2006-09-01,52
2006-10-01,61
2006-11-01,42
2006-12-01,55
2007-01-01,63
2007-02-01,52
2007-03-01,69
2007-04-01,73
2007-05-01,55
2007-06-01,80
2007-07-01,78
2007-08-01,83
2007-09-01,59
2007-10-01,58
2007-11-01,42
2007-12-01,54
2008-01-01,43
2008-02-01,72
2008-03-01,64
2008-04-01,64
2008-05-01,72
2008-06-01,78
2008-07-01,82
2008-08-01,79
2008-09-01,72
2008-10-01,43
2008-11-01,53
2008-12-01,69
2009-01-01,59
2009-02-01,61
2009-03-01,64
2009-04-01,66
2009-05-01,62
2009-06-01,64
2009-07-01,52
2009-08-01,78
2009-09-01,69
2009-10-01,73
2009-11-01,51
2009-12-01,60
2010-01-01,72
2010-02-01,80
2010-03-01,73
2010-04-01,65
2010-05-01,67
2010-06-01,68
2010-07-01,58
2010-08-01,64
2010-09-01,59
2010-10-01,59
2010-11-01,53
2010-12-01,45
2011-01-01,53
2011-02-01,52
2011-03-01,49
2011-04-01,53
2011-05-01,51
2011-06-01,53
2011-07-01,55
2011-08-01,54
2011-09-01,56
2011-10-01,55
2011-11-01,46
2011-12-01,52
2012-01-01,56
2012-02-01,51
2012-03-01,60
2012-04-01,62
2012-05-01,59
2012-06-01,60
2012-07-01,69
2012-08-01,67
2012-09-01,64
2012-10-01,54
2012-11-01,58
2012-12-01,59
2013-01-01,67
2013-02-01,55
2013-03-01,73
2013-04-01,71
2013-05-01,61
2013-06-01,60
2013-07-01,67
2013-08-01,72
2013-09-01,68
2013-10-01,65
2013-11-01,65
2013-12-01,66
2014-01-01,66
2014-02-01,66
2014-03-01,66
2014-04-01,74
2014-05-01,69
2014-06-01,59
2014-07-01,65
2014-08-01,71
2014-09-01,65
2014-10-01,66
2014-11-01,64
2014-12-01,61
2015-01-01,69
2015-02-01,73
2015-03-01,69
2015-04-01,72
2015-05-01,69
2015-06-01,68
2015-07-01,69
2015-08-01,74
2015-09-01,71
2015-10-01,62
2015-11-01,61
2015-12-01,62
2016-01-01,60
2016-02-01,61
2016-03-01,68
2016-04-01,64
2016-05-01,63
2016-06-01,65
2016-07-01,69
2016-08-01,71
2016-09-01,68
2016-10-01,67
2016-11-01,67
2016-12-01,71
2017-01-01,69
2017-02-01,75
2017-03-01,69
2017-04-01,79
2017-05-01,68
2017-06-01,75
2017-07-01,79
2017-08-01,91
2017-09-01,93
2017-10-01,81
2017-11-01,79
2017-12-01,72
2018-01-01,77
2018-02-01,81
2018-03-01,83
2018-04-01,78
2018-05-01,78
2018-06-01,77
2018-07-01,85
2018-08-01,86
2018-09-01,80
2018-10-01,77
2018-11-01,76
2018-12-01,75
2019-01-01,79
2019-02-01,85
2019-03-01,79
2019-04-01,81
2019-05-01,73
2019-06-01,77
2019-07-01,82
2019-08-01,83
2019-09-01,80
2019-10-01,73
2019-11-01,77
2019-12-01,75
2020-01-01,72
2020-02-01,73
2020-03-01,54
2020-04-01,50
2020-05-01,71
2020-06-01,71
2020-07-01,76
2020-08-01,76
2020-09-01,62
2020-10-01,65
2020-11-01,71
2020-12-01,60
2021-01-01,64
2021-02-01,68
2021-03-01,72
2021-04-01,72
2021-05-01,72
2021-06-01,67
2021-07-01,80
2021-08-01,93
2021-09-01,72
2021-10-01,71
2021-11-01,74
2021-12-01,77
2022-01-01,81
2022-02-01,77
2022-03-01,81
2022-04-01,86
2022-05-01,82
2022-06-01,71
2022-07-01,88
2022-08-01,85
2022-09-01,86
2022-10-01,78
2022-11-01,71
2022-12-01,69
2023-01-01,92
2023-02-01,98
2023-03-01,94
2023-04-01,87
2023-05-01,80
2023-06-01,82
2023-07-01,94
2023-08-01,86
2023-09-01,84
2023-10-01,86
2023-11-01,98
2023-12-01,90
2024-01-01,86
2024-02-01,97
2024-03-01,100
2024-04-01,91
2024-05-01,99
2024-06-01,86
2024-07-01,83
2024-08-01,96
2024-09-01,92
2024-10-01,82
2024-11-01,84
2024-12-01,88
2025-01-01,96


 Definition: Google Trends Indice de Busqueda Suzuki. Source: Google
